epoch,train_loss,train_species_loss,train_domain_loss,train_species_accuracy,train_domain_accuracy,val_loss,val_species_loss,val_domain_loss,val_species_accuracy,val_species_balanced_accuracy,val_domain_accuracy,val_domain_balanced_accuracy,lr,val_species_ba_D1,val_species_ba_D2,val_species_ba_D3,val_species_ba_D4,val_species_ba_D5
1,0.449566,0.437199,0.012368,0.83996,0.996691,0.400625,0.385454,0.015171,0.857714,0.699774,0.995937,0.360552,0.001,0.56144,0.176136,0.109524,0.25,0.845918
2,0.294773,0.290789,0.003984,0.893951,0.998451,0.322926,0.313813,0.009113,0.885994,0.737767,0.997149,0.599057,0.001,0.556728,0.801136,0.450794,0.25,0.855939
3,0.262058,0.259009,0.003049,0.904717,0.998844,0.378388,0.364251,0.014136,0.870658,0.673767,0.996952,0.587531,0.001,0.490914,0.823864,0.226984,0.5,0.803389
4,0.239831,0.237201,0.00263,0.91302,0.999111,0.39282,0.383882,0.008937,0.866595,0.750104,0.997739,0.628365,0.001,0.504645,0.613636,0.366667,0.5,0.860031
5,0.225813,0.223332,0.00248,0.917977,0.999143,0.361302,0.350556,0.010746,0.872329,0.66568,0.997804,0.687879,0.001,0.521848,0.778409,0.225397,0.5,0.859013
6,0.212108,0.20982,0.002289,0.922269,0.999237,0.378327,0.370329,0.007999,0.866103,0.773495,0.998198,0.642909,0.001,0.566649,0.977273,0.484127,0.25,0.856996
7,0.202143,0.200299,0.001845,0.926079,0.999382,0.392806,0.381142,0.011664,0.872755,0.72817,0.997477,0.692697,0.001,0.567145,0.727273,0.511111,0.75,0.87396
8,0.192679,0.190957,0.001722,0.929018,0.999387,0.424528,0.413305,0.011224,0.862269,0.772234,0.997837,0.70934,0.001,0.493258,0.846591,0.296825,0.5,0.863805
9,0.185815,0.184269,0.001546,0.930914,0.99948,0.336002,0.317569,0.018433,0.889959,0.614941,0.996559,0.48702,0.001,0.421627,0.386364,0.414286,0.5,0.864086
10,0.18028,0.178507,0.001773,0.933615,0.999429,0.246588,0.237762,0.008827,0.911555,0.759522,0.997936,0.650291,0.001,0.65395,0.6875,0.622222,0.5,0.86912
11,0.171093,0.16966,0.001433,0.936521,0.999499,0.271946,0.236978,0.034968,0.914701,0.77332,0.997509,0.656089,0.001,0.53116,0.840909,0.62381,0.75,0.894789
12,0.164693,0.163249,0.001444,0.938141,0.999509,0.292462,0.284519,0.007942,0.901789,0.710641,0.997444,0.601481,0.001,0.490891,0.755682,0.465079,0.5,0.855344
13,0.15934,0.157823,0.001517,0.940795,0.999485,0.248025,0.23796,0.010065,0.915127,0.720524,0.997378,0.626762,0.001,0.598237,0.539773,0.679365,0.5,0.895829
14,0.152032,0.150781,0.00125,0.943187,0.999597,0.270266,0.263564,0.006702,0.907131,0.788153,0.998099,0.690342,0.001,0.624233,0.846591,0.55873,0.25,0.891424
15,0.147196,0.145818,0.001379,0.944497,0.999551,0.279718,0.268342,0.011375,0.912734,0.688837,0.997673,0.727885,0.001,0.481895,0.954545,0.622222,0.75,0.879867
16,0.144117,0.142721,0.001396,0.946065,0.999494,0.247394,0.236684,0.01071,0.918862,0.681753,0.997608,0.622626,0.001,0.455109,0.426136,0.411111,0.5,0.887267
17,0.138383,0.137202,0.001181,0.948228,0.999607,0.28102,0.271085,0.009935,0.912734,0.720483,0.99787,0.731934,0.001,0.415449,0.931818,0.74127,0.0,0.897651
18,0.134779,0.133532,0.001248,0.949145,0.999602,0.338911,0.321601,0.01731,0.894023,0.667471,0.996887,0.624803,0.001,0.386409,0.75,0.601587,0.5,0.883614
19,0.131249,0.129979,0.00127,0.950732,0.99963,0.307097,0.293347,0.01375,0.907393,0.746456,0.997641,0.77566,0.001,0.504306,0.892045,0.714286,0.0,0.872519
1,1.215529,1.169046,0.046482,0.564389,0.993976,1.045342,1.019168,0.026174,0.617742,0.348233,0.994462,0.230464,0.0003,0.03125,0.022727,0.022222,0.0,0.510409
2,1.061425,1.051546,0.00988,0.603603,0.996593,1.032879,1.001129,0.03175,0.627277,0.354575,0.994429,0.233838,0.0003,0.026042,0.215909,0.053968,0.0,0.510918
3,1.030226,1.021826,0.0084,0.613503,0.996794,0.992493,0.965219,0.027274,0.640353,0.360905,0.99479,0.255064,0.0003,0.092262,0.125,0.038095,0.0,0.533693
4,1.012191,1.004375,0.007816,0.620996,0.997037,1.001877,0.961212,0.040665,0.643859,0.36261,0.994429,0.238378,0.0003,0.075893,0.0,0.038095,0.0,0.536379
5,0.998001,0.990561,0.00744,0.627334,0.997079,0.998076,0.960848,0.037228,0.642253,0.373849,0.994462,0.241378,0.0003,0.078869,0.130682,0.069841,0.0,0.537631
6,0.987376,0.980242,0.007134,0.630386,0.997215,0.985444,0.950395,0.03505,0.645334,0.373505,0.994659,0.262185,0.0003,0.051587,0.153409,0.053968,0.0,0.534195
7,0.979807,0.97315,0.006657,0.634004,0.997398,0.983394,0.940252,0.043142,0.653886,0.380559,0.994593,0.252561,0.0003,0.065476,0.022727,0.065079,0.0,0.551505
